period	cc	year	CG_701_GDP	centralization_hi	centralization_umi	centralization_lmi	centralization_li	warfare_hi	warfare_umi	warfare_lmi	warfare_li	area_hi	area_umi	area_lmi	area_li	population_hi	population_umi	population_lmi	population_li	depend15_hi	depend15_umi	depend15_lmi	depend15_li	depend64_hi	depend64_umi	depend64_lmi	depend64_li	urban_hi	urban_umi	urban_lmi	urban_li	pop_growth_hi	pop_growth_umi	pop_growth_lmi	pop_growth_li	trade_hi	trade_umi	trade_lmi	trade_li	gini_gross_hi	gini_gross_umi	gini_gross_lmi	gini_gross_li	debt_hi	debt_umi	debt_lmi	debt_li	fdi_liab_hi	fdi_liab_umi	fdi_liab_lmi	fdi_liab_li	inflation_hi	inflation_umi	inflation_lmi	inflation_li	democracy_hi	democracy_umi	democracy_lmi	democracy_li	pol_comp_hi	pol_comp_umi	pol_comp_lmi	pol_comp_li	presidential_hi	presidential_umi	presidential_lmi	presidential_li	plurality_hi	plurality_umi	plurality_lmi	plurality_li	pol_rights_hi	pol_rights_umi	pol_rights_lmi	pol_rights_li	gdp_pc_hi	gdp_pc_umi	gdp_pc_lmi	gdp_pc_li	lcentralization_hi	lcentralization_umi	lcentralization_lmi	lcentralization_li	lwarfare_hi	lwarfare_umi	lwarfare_lmi	lwarfare_li	larea_hi	larea_umi	larea_lmi	larea_li	lpopulation_hi	lpopulation_umi	lpopulation_lmi	lpopulation_li	ldepend15_hi	ldepend15_umi	ldepend15_lmi	ldepend15_li	ldepend64_hi	ldepend64_umi	ldepend64_lmi	ldepend64_li	lurban_hi	lurban_umi	lurban_lmi	lurban_li	lpop_growth_hi	lpop_growth_umi	lpop_growth_lmi	lpop_growth_li	ltrade_hi	ltrade_umi	ltrade_lmi	ltrade_li	lgini_gross_hi	lgini_gross_umi	lgini_gross_lmi	lgini_gross_li	ldebt_hi	ldebt_umi	ldebt_lmi	ldebt_li	lfdi_liab_hi	lfdi_liab_umi	lfdi_liab_lmi	lfdi_liab_li	linflation_hi	linflation_umi	linflation_lmi	linflation_li	ldemocracy_hi	ldemocracy_umi	ldemocracy_lmi	ldemocracy_li	lpol_comp_hi	lpol_comp_umi	lpol_comp_lmi	lpol_comp_li	lpresidential_hi	lpresidential_umi	lpresidential_lmi	lpresidential_li	lplurality_hi	lplurality_umi	lplurality_lmi	lplurality_li	lpol_rights_hi	lpol_rights_umi	lpol_rights_lmi	lpol_rights_li	lgdp_pc_hi	lgdp_pc_umi	lgdp_pc_lmi	lgdp_pc_li	per01	per02	per03	per04	per05	per06	per07	per08	cc6	cc10	cc13	cc14	cc18	cc21	cc24	cc27	cc32	cc34	cc42	cc44	cc45	cc51	cc56	cc59	cc63	cc68	cc71	cc74	cc75	cc79	cc82	cc83	cc84	cc93	cc94	cc96	cc101	cc112	cc113	cc114	cc116	cc118	cc119	cc121	cc122	cc123	cc125	cc136	cc137	cc143	cc144	cc145	cc152	cc154	cc158	cc161	cc164	cc166	cc167	cc171	cc174	cc178	cc180	cc183	cc185	cc186	cc188	cc191	cc217	cc219	cc220	cc225	cc227	cc228	cc233	cc234	cc240	cc246	cc247	cc248	cc252	cc256	cc257	cc258	cc262	cc274	cc276
7	6	2003	11.304461	0	100	0	0	0	2.4000001	0	0	0	13.997832	0	0	0	16.535578	0	0	0	95.644615	0	0	0	4.928041	0	0	0	51.960602	0	0	0	4.0119047	0	0	0	141.15469	0	0	0	59.220188	0	0	0	59.806541	0	0	0	9.5209789	0	0	0	80.059143	0	0	0	-2.2	0	0	0	7.5999999	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	6.9318309	0	0	0	100	0	0	0	6	0	0	0	13.997832	0	0	0	16.394094	0	0	0	95.538322	0	0	0	4.9884677	0	0	0	46.9874	0	0	0	3.2051282	0	0	0	154.09622	0	0	0	51.964218	0	0	0	135.23801	0	0	0	8.4992723	0	0	0	1300.8677	0	0	0	-2.8	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	6.2832885	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	10	1983	4.5575733	0	72.296562	0	0	0	.2	0	0	0	14.808763	0	0	0	17.196367	0	0	0	50.636185	0	0	0	13.634814	0	0	0	84.177597	0	0	0	1.4039409	0	0	0	15.048242	0	0	0	41.172844	0	0	0	40.985859	0	0	0	8.3517094	0	0	0	385.7738	0	0	0	1.6	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	3.8	0	0	0	8.2158976	0	0	0	87.5	0	0	0	3	0	0	0	14.808763	0	0	0	17.118347	0	0	0	48.094734	0	0	0	12.591663	0	0	0	82.119797	0	0	0	1.5099715	0	0	0	13.97912	0	0	0	40.577187	0	0	0	14.48082	0	0	0	7.7063375	0	0	0	199.46796	0	0	0	-9	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	8.2727804	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	1988	2.7983959	0	61.714081	0	0	0	0	0	0	0	14.808763	0	0	0	17.274702	0	0	0	51.133274	0	0	0	14.468559	0	0	0	86.205597	0	0	0	1.9368279	0	0	0	16.000284	0	0	0	43.631573	0	0	0	60.969524	0	0	0	8.8388939	0	0	0	1144.8917	0	0	0	7.5999999	0	0	0	7.4000001	0	0	0	1	0	0	0	0	0	0	0	1.6	0	0	0	8.14785	0	0	0	72.296562	0	0	0	.2	0	0	0	14.808763	0	0	0	17.196367	0	0	0	50.636185	0	0	0	13.634814	0	0	0	84.177597	0	0	0	1.4039409	0	0	0	15.048242	0	0	0	41.172844	0	0	0	40.985859	0	0	0	8.3517094	0	0	0	385.7738	0	0	0	1.6	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	3.8	0	0	0	8.2158976	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	10	1993	2.4719636	0	56.823685	0	0	0	0	0	0	0	14.808763	0	0	0	17.341698	0	0	0	48.811382	0	0	0	15.171429	0	0	0	87.986	0	0	0	1.1942959	0	0	0	16.497944	0	0	0	44.474213	0	0	0	36.520119	0	0	0	9.827117	0	0	0	34.231953	0	0	0	7	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	1.8	0	0	0	8.8322802	0	0	0	61.714081	0	0	0	0	0	0	0	14.808763	0	0	0	17.274702	0	0	0	51.133274	0	0	0	14.468559	0	0	0	86.205597	0	0	0	1.9368279	0	0	0	16.000284	0	0	0	43.631573	0	0	0	60.969524	0	0	0	8.8388939	0	0	0	1144.8917	0	0	0	7.5999999	0	0	0	7.4000001	0	0	0	1	0	0	0	0	0	0	0	1.6	0	0	0	8.14785	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	10	1998	4.0622759	0	58.222885	0	0	0	0	0	0	0	14.808763	0	0	0	17.404354	0	0	0	45.86274	0	0	0	15.690331	0	0	0	89.536598	0	0	0	1.1269841	0	0	0	22.420864	0	0	0	47.471855	0	0	0	39.122898	0	0	0	10.80127	0	0	0	-.604168	0	0	0	7.4000001	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	8.9781189	0	0	0	56.823685	0	0	0	0	0	0	0	14.808763	0	0	0	17.341698	0	0	0	48.811382	0	0	0	15.171429	0	0	0	87.986	0	0	0	1.1942959	0	0	0	16.497944	0	0	0	44.474213	0	0	0	36.520119	0	0	0	9.827117	0	0	0	34.231953	0	0	0	7	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	1.8	0	0	0	8.8322802	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	10	2003	6.6219139	0	63.429813	0	0	0	0	0	0	0	14.808763	0	0	0	17.452959	0	0	0	42.830132	0	0	0	15.964285	0	0	0	90.879204	0	0	0	1.0668564	0	0	0	37.947021	0	0	0	48.536751	0	0	0	114.37478	0	0	0	10.905325	0	0	0	11.700214	0	0	0	8	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	2.4000001	0	0	0	8.3354874	0	0	0	58.222885	0	0	0	0	0	0	0	14.808763	0	0	0	17.404354	0	0	0	45.86274	0	0	0	15.690331	0	0	0	89.536598	0	0	0	1.1269841	0	0	0	22.420864	0	0	0	47.471855	0	0	0	39.122898	0	0	0	10.80127	0	0	0	-.604168	0	0	0	7.4000001	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	8.9781189	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	13	1978	6.8164063	63.920673	0	0	0	0	0	0	0	15.85673	0	0	0	16.482164	0	0	0	40.501751	0	0	0	14.350421	0	0	0	85.824402	0	0	0	1.4285715	0	0	0	30.137421	0	0	0	33.97942	0	0	0	22.0805	0	0	0	9.7699699	0	0	0	10.459136	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9.1619825	0	0	0	64.768768	0	0	0	0	0	0	0	15.85673	0	0	0	16.410103	0	0	0	44.300079	0	0	0	13.489901	0	0	0	85.6586	0	0	0	1.5384616	0	0	0	26.496618	0	0	0	34.107616	0	0	0	26.68042	0	0	0	9.2098999	0	0	0	10.646086	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	8.6627636	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	13	1983	7.7315545	63.06282	0	0	0	0	0	0	0	15.85673	0	0	0	16.549376	0	0	0	36.837376	0	0	0	15.300754	0	0	0	85.580002	0	0	0	1.3333334	0	0	0	30.772429	0	0	0	40.300171	0	0	0	19.515881	0	0	0	10.329762	0	0	0	8.7782564	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9.4490099	0	0	0	63.920673	0	0	0	0	0	0	0	15.85673	0	0	0	16.482164	0	0	0	40.501751	0	0	0	14.350421	0	0	0	85.824402	0	0	0	1.4285715	0	0	0	30.137421	0	0	0	33.97942	0	0	0	22.0805	0	0	0	9.7699699	0	0	0	10.459136	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9.1619825	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	13	1988	7.3108568	60.741421	0	0	0	0	0	0	0	15.85673	0	0	0	16.624474	0	0	0	33.918526	0	0	0	16.290024	0	0	0	85.424004	0	0	0	1.25	0	0	0	32.343185	0	0	0	42.624836	0	0	0	22.92864	0	0	0	10.98873	0	0	0	7.157136	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9.6772041	0	0	0	63.06282	0	0	0	0	0	0	0	15.85673	0	0	0	16.549376	0	0	0	36.837376	0	0	0	15.300754	0	0	0	85.580002	0	0	0	1.3333334	0	0	0	30.772429	0	0	0	40.300171	0	0	0	19.515881	0	0	0	10.329762	0	0	0	8.7782564	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9.4490099	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	13	1993	6.4788108	57.83905	0	0	0	0	0	0	0	15.85673	0	0	0	16.69445	0	0	0	32.513485	0	0	0	17.619452	0	0	0	85.823601	0	0	0	1.1764706	0	0	0	36.097652	0	0	0	41.86216	0	0	0	28.545919	0	0	0	11.42436	0	0	0	1.710936	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9.8759394	0	0	0	60.741421	0	0	0	0	0	0	0	15.85673	0	0	0	16.624474	0	0	0	33.918526	0	0	0	16.290024	0	0	0	85.424004	0	0	0	1.25	0	0	0	32.343185	0	0	0	42.624836	0	0	0	22.92864	0	0	0	10.98873	0	0	0	7.157136	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9.6772041	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
